created_at,id_str,full_text,quote_count,reply_count,retweet_count,favorite_count,lang,user_id_str,conversation_id_str,username,tweet_url
Mon Mar 27 23:59:09 +0000 2023,1640503757552369664,"Exco PSSI, Arya Sinulingga membantah kabar Piala Dunia U-20 2023 akan diselenggarakan di Peru.  Dirinya mengatakan belum ada surat resmi dari FIFA mengenai pembatalam drawing Pildun U-20 2023 , apalagi pengurungan niat menggelar ajang tersebut di Indonesia #MostUpdate1058 https://t.co/GPhtPMuQSg",0,0,0,1,in,85805755,1640503757552369664,most1058,https://twitter.com/most1058/status/1640503757552369664
Mon Mar 27 23:55:55 +0000 2023,1640502943874191360,"@Paltiwest Lebih baik dipindah Piala Dunia U 20 dari pada menimbulkan keributan di Negeri ini,walau sanksi FIFA tdk mengikutkan PSSI ke ajang Internasional pasa berikutnya,kita harus siap",0,0,0,0,in,1135490339391672325,1640317462523842560,MangasiPanggab2,https://twitter.com/MangasiPanggab2/status/1640502943874191360
Mon Mar 27 23:55:52 +0000 2023,1640502931660103686,"FIFA membatalkan drawing pembagian grup Piala Dunia U-20 yang seharusnya digelar di Bali pada (31/3) buntut sejumlah penolakan atas tim nasional Israel. Lebih lanjut, wartawan senior olahraga Indonesia Yesayas Oktavianus menyebut FIFA sudah membatalkan ... https://t.co/Q38rSGOwVB",0,0,0,4,in,135783107,1640502931660103686,detiksport,https://twitter.com/detiksport/status/1640502931660103686
Mon Mar 27 23:53:29 +0000 2023,1640502330264276992,"@Dennysiregar7 Berarti tidak percaya komitmen TNI-Polri dalam menjaga keamanan dan ketertiban Piala Dunia U-20 di Indonesia  ?",0,0,0,0,in,1634857533189001218,1640006653767725057,DaltonSembirin1,https://twitter.com/DaltonSembirin1/status/1640502330264276992
Mon Mar 27 23:49:39 +0000 2023,1640501364886237189,"Caper, Baper, Tantrum dimana-mana, dan Cari Gara-gara.... &gt &gt &gt  Wali Kota Bengkulu Tolak Israel Bermain di Piala Dunia U-20 https://t.co/AWkdIT06N0 via @KompasTV @kompascom",0,0,0,1,in,549855423,1640501364886237189,5kiOnD1splay,https://twitter.com/5kiOnD1splay/status/1640501364886237189
Mon Mar 27 23:40:37 +0000 2023,1640499091481427968,"@Ekagud1 @SakitPe14248653 @Adi_8002 Yg standar ganda itu FIFA, aturan nya bisa melakukan pencoret Rusia ikut serta piala dunia di Qatar, tetapi kenapa pada zionis Israel FIFA tidak mencoret zionis Israel ikut piala dunia u-20... Yg mana sampai sekarang ini zionis Israel masih menginvasi palestina..",0,2,0,2,in,1609393019022893056,1640264684942274560,nepriadi74,https://twitter.com/nepriadi74/status/1640499091481427968
Mon Mar 27 23:31:50 +0000 2023,1640496880848191488,"I Wayan Sukadana berharap Presiden Jokowi "turun gunung" agar masalah Piala Dunia U-20 2023 terselesaikan.  #U20WorldCupEMTEK #U20WorldCupKLY #U20WorldCupBolacom  https://t.co/PAIYC2jbTT",0,0,0,0,in,1486284086,1640496880848191488,bolacomID,https://twitter.com/bolacomID/status/1640496880848191488
Mon Mar 27 23:31:49 +0000 2023,1640496878486958081,"Reaksi Shin Tae-yong, Drawing Piala Dunia U-20 Batal dan Nasib Timnas Indonesia U-20  https://t.co/Q8ERiG0AiK tidak perlu gelisah Pak, itulah negeri ku",0,0,0,0,in,3273171655,1640496878486958081,33fd17e2faec422,https://twitter.com/33fd17e2faec422/status/1640496878486958081
Mon Mar 27 23:30:25 +0000 2023,1640496526974939137,"Gus Wagub : Saya sepakat, bahwa penyelenggaraan (Piala Dunia U-20) ini tetap bisa berjalan tanpa kita mengorbankan komitmen mewujudkan kemerdekaan Palestina. #GusYasin #PanglimaSGN #SantriGayengNusantara #TajYasin #WagubJateng @TajYasinMZ https://t.co/DYLR9tOWOF",2,0,5,4,in,1594374715682230272,1640496526974939137,SgnBanjarnegara,https://twitter.com/SgnBanjarnegara/status/1640496526974939137
Mon Mar 27 23:30:00 +0000 2023,1640496423195013123,"Meski Drawing Batal, FIFA Tetap Lanjutkan Verifikasi Stadion Piala Dunia U-20 2023 di Indonesia https://t.co/dakLhXntlc",0,0,0,4,in,85537477,1640496423195013123,Bolanet,https://twitter.com/Bolanet/status/1640496423195013123
Mon Mar 27 23:29:54 +0000 2023,1640496395156062213,"Ia sepakat dan mendukung penuh Gubernur Jateng, Ganjar Pranowo yang meminta panitia bersama pihak terkait agar mengupayakan langkah terobosan piala dunia U-20 tanpa kehadiran timnas Israel di Indonesia. #GusYasin #PanglimaSGN #SantriGayengNusantara #TajYasin #WagubJateng",1,0,4,3,in,1594374715682230272,1640495902032027648,SgnBanjarnegara,https://twitter.com/SgnBanjarnegara/status/1640496395156062213
Mon Mar 27 23:28:28 +0000 2023,1640496035117285376,"Wakil Gubernur Jawa Tengah, mendukung penuh sikap Gubernur Jawa Tengah Ganjar Pranowo menolak kehadiran Timnas Israel dalam Piala Dunia U-20 yang akan di gelar di Indonesia. #GusYasin #PanglimaSGN #SantriGayengNusantara #TajYasin #WagubJateng @TajYasinMZ",1,0,4,3,in,1594374715682230272,1640495902032027648,SgnBanjarnegara,https://twitter.com/SgnBanjarnegara/status/1640496035117285376
Mon Mar 27 23:27:56 +0000 2023,1640495902032027648,"Dukung Ganjar, Gus Yasin Juga Ingin Piala Dunia  U-20 Tanpa Israel  #GusYasin #PanglimaSGN #SantriGayengNusantara #TajYasin #WagubJateng @TajYasinMZ https://t.co/DoCAslOyJC",1,5,11,11,in,1594374715682230272,1640495902032027648,SgnBanjarnegara,https://twitter.com/SgnBanjarnegara/status/1640495902032027648
Mon Mar 27 23:26:02 +0000 2023,1640495422946037760,"Shin Tae-yong Gelisah soal Nasib Piala Dunia U-20 2023, Merasa Sia-sia jika Batal https://t.co/353wEGL1nH",7,23,7,33,in,71436318,1640495422946037760,KompasTV,https://twitter.com/KompasTV/status/1640495422946037760
Mon Mar 27 23:22:35 +0000 2023,1640494555903717376,"Pelatih timnas Indonesia Shin Tae-yong ikut was-was mendengar kabar tuan rumah Piala Dunia U-20 dipindahkan dari Indonesia. Acara drawing yang dibatalkan FIFA, menambah kekhawatiran pelatih asal Korea Selatan tersebut. Apalagi muncul kabar Peru sudah… https://t.co/mvygTDIvwA",0,1,1,1,in,46693036,1640494555903717376,inilahdotcom,https://twitter.com/inilahdotcom/status/1640494555903717376
Mon Mar 27 23:18:04 +0000 2023,1640493418794328067,"@Dennysiregar7 300 T dan blunder junjungan anjing2 Buzer soal piala dunia U 20 😀😀😀😀 untuk pengalihan isu anjing Buzer masih jualan teroras teroris 😀😀😀😀 kami tdk dibayar untuk cerdas bukan seperti anjing Buzer dibayar buat gublok dan tolol 😀",0,4,1,11,in,1548583169573523456,1640384073700081670,Abenk12356649,https://twitter.com/Abenk12356649/status/1640493418794328067
Mon Mar 27 23:17:25 +0000 2023,1640493256030175232,"Yg Jelas Mereka2 yg Melarang Tim Olah raga israel bermain yg otaknya gak waras yg tidak bisa membandingkan mana politik mana olah raga..  https://t.co/cBhsJb99v9  Israel ditentang sana-sini untuk berlaga di Piala Dunia U-20 2023 di Indonesia. Siapa saja yang menolaknya?",0,0,0,0,in,1460933578187960323,1640493256030175232,RudiRud37574934,https://twitter.com/RudiRud37574934/status/1640493256030175232
Mon Mar 27 23:16:07 +0000 2023,1640492925749710848,"#TimnasIndonesia_U20 sekalian ya mau main SBG tuan rumah utk gelaran piala dunia u_20, (2023), eh musim tahun politik.",0,0,0,0,in,346996550,1640492925749710848,kholilahmad,https://twitter.com/kholilahmad/status/1640492925749710848
Mon Mar 27 23:15:00 +0000 2023,1640492646241284096,""Saya berharap Piala Dunia U-20 2023 bisa berjalan lancar di Indonesia, Apalagi, Piala Dunia U-20 juga untuk kemajuan sepak bola Indonesia. Itu penting," tutur Shin Tae-yong.  #U20WorldCupEMTEK #U20WorldCupKLY #U20WorldCupBolacom  https://t.co/xicMIpXXcc",0,0,0,1,in,1486284086,1640492646241284096,bolacomID,https://twitter.com/bolacomID/status/1640492646241284096
Mon Mar 27 23:13:35 +0000 2023,1640492288735592448,"Drawing Piala Dunia U-20 2023 Dibatalkan Timnas Indonesia U-20 Tetap Lanjutkan TC di Jakarta  https://t.co/XzlW30gRJ5",0,0,1,1,in,55507370,1640492288735592448,tvOneNews,https://twitter.com/tvOneNews/status/1640492288735592448
Mon Mar 27 23:13:03 +0000 2023,1640492156048805890,"Respons Shin Tae Yong Soal Pembatalan Drawing Piala Dunia U-20 2023, Gelisah #ShinTaeYong https://t.co/jKgRu4QEOH",0,0,0,0,in,79130206,1640492156048805890,jpnncom,https://twitter.com/jpnncom/status/1640492156048805890
